Quote#,Line,Part Number,Callout,Process,Spec,Type,Class,PriceBreak,file_path
7387,1,200K91-00761,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,1,200K91-00761,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,2,200K91-00597,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,2,200K91-00597,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,3,200K91-00598,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,35;147,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,3,200K91-00598,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,35;147,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,4,200K91-00599,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,4,200K91-00599,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,5,200K91-00600,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,5,200K91-00600,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,6,200K91-00601,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,6,200K91-00601,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,7,200K91-00602,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,7,200K91-00602,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,8,200K91-00603,NICKEL PLATE UNDERCOAT PER ASTM B-733 5um,Electroless Nickel,ASTM B-733,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7387,8,200K91-00603,"SOL-EPOXY DK15-0907 RED. MINIMUM THICKNESS
.010""; MAXIMUM THICKNESS .020""",SOL-EPOXY,,,,5;21,G:\Hyliion\20250326 - Copper Bus Bar for 5.5Ah battery box
7919,1,0022-66323,"SILVER PLATE PER ASTM B700, TYPE 1, GRADE D, CLASS S, THICKNESS .0009- .0011 INCH WITH ANTI-TARNISH UNDERPLATE SULFAMATE NICKEL .0005 INCH MIN. THICK.",Silver Plate,ASTM B700,TYPE 1,CLASS S,1;5;10;15;20;30;60,G:\Applied Materials\20250610 - 423483
7833,1,0020-34828,"BLUE ANODIZE PER MIL-A-8625F, TYPE. Il,",Anodize,MIL-A-8625,TYPE Il,,1;5;10;15,G:\Applied Materials\20250528 - 421485
